Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All,Comments
2012-01-06,16:37,4,1,51.29,127.4,78.3,84.8,8.690591397849461,39.3,36.3,1,0
2012-01-06,08:20,4,0,51.63,130.3,81.8,88.9,8.690591397849461,37.9,34.9,1,0
2012-01-04,16:17,2,1,51.27,127.4,82.0,85.8,8.690591397849461,37.5,35.9,1,0
2012-01-04,07:53,2,0,49.17,132.3,74.2,82.9,8.690591397849461,39.8,35.6,1,0
2012-01-03,18:57,1,1,51.15,136.2,83.4,88.1,8.690591397849461,36.8,34.8,1,0
2012-01-03,07:57,1,0,51.8,135.8,84.5,88.8,8.690591397849461,36.8,35.0,1,0
2012-01-02,17:31,0,1,51.37,123.2,82.9,87.3,8.690591397849461,37.2,35.3,1,0
2012-01-02,07:34,0,0,49.01,128.3,77.5,85.9,8.690591397849461,37.9,34.3,1,0
2011-12-23,08:01,4,0,52.91,130.3,80.9,88.3,8.89,39.3,36.0,1,0
2011-12-22,17:19,3,1,51.17,122.3,70.6,78.1,8.89,43.5,39.3,1,0
2011-12-22,08:16,3,0,49.15,129.4,74.0,81.4,8.89,39.8,36.2,1,0
2011-12-21,07:45,2,0,51.77,124.8,71.7,78.9,8.89,43.3,39.4,1,0
2011-12-20,16:05,1,1,51.45,130.1,75.2,82.7,8.89,41.1,37.3,1,0
2011-12-20,06:04,1,0,49.01,119.0,77.4,82.0,8.89,38.0,35.9,1,0
2011-12-19,16:18,0,1,51.04,132.2,77.5,83.5,8.89,39.5,36.7,1,0
2011-12-19,07:34,0,0,52.0,137.8,76.5,87.8,8.89,40.8,35.5,1,Put snow tires on
2011-12-16,12:22,4,1,51.05,128.4,86.9,90.6,9.08,35.2,33.8,1,0
2011-12-16,07:21,4,0,49.04,124.6,71.1,80.2,9.08,41.4,36.7,1,0
2011-12-15,16:14,3,1,51.06,126.9,80.5,84.9,9.08,38.1,36.1,1,0
2011-12-15,07:19,3,0,51.68,123.5,68.1,75.8,9.08,45.6,40.9,1,0
2011-12-14,16:20,2,1,51.04,123.4,75.1,79.4,9.08,40.8,38.6,1,0
2011-12-14,07:23,2,0,51.67,123.5,76.6,82.7,9.08,40.5,37.5,1,0
2011-12-13,17:43,1,1,51.15,130.6,74.8,82.4,9.08,41.0,37.2,1,0
2011-12-13,07:25,1,0,49.19,126.1,65.4,74.2,9.08,45.1,39.8,1,0
2011-12-12,07:20,0,0,49.02,126.1,65.7,74.0,9.76,44.8,39.7,1,0
2011-12-09,12:04,4,1,51.14,126.8,87.3,90.2,9.76,35.2,34.0,1,0
2011-12-09,07:22,4,0,51.69,128.4,74.0,77.3,9.76,41.9,40.1,1,0
2011-12-08,17:41,3,1,51.07,125.0,74.6,81.5,9.76,41.1,37.6,1,0
2011-12-08,07:14,3,0,51.63,134.4,76.5,84.3,9.76,40.5,36.7,1,0
2011-12-07,16:12,2,1,51.1,126.5,79.9,85.6,9.76,38.4,35.8,1,0
2011-12-07,07:18,2,0,51.64,124.6,73.6,82.0,9.76,42.1,37.8,1,0
2011-12-06,17:24,1,1,51.25,123.5,77.3,81.9,9.16,39.8,37.6,1,0
2011-12-06,07:24,1,0,51.64,122.3,69.3,74.7,9.16,44.7,41.5,1,0
